node,new_score
anon_S124E,687
anon_S69E,635
anon_S1090E,612
anon_S1448E,556
anon_S2570E,603
anon_S4226E,616
anon_S3394E,567
anon_S308E,578
anon_S5439E,555
anon_S2075E,538
anon_S2407E,624
anon_S2703E,657
anon_S2934E,581
anon_S5249E,662
anon_S735E,600
anon_S5240E,610
anon_S5937E,533
anon_S5464E,513
anon_S3297E,637
anon_S171E,595
anon_S5272E,554
anon_S2634E,544
anon_S2981E,544
anon_S4695E,424
anon_S675E,668
anon_S350E,693
anon_S2812E,665
anon_S6018E,594
anon_S2506E,541
anon_S841E,377
anon_S522E,560
anon_S3516E,651
anon_S2846E,549
anon_S4579E,563
anon_S2025E,620
anon_S4723E,513
anon_S4379E,596
anon_S4444E,623
anon_S4654E,530
anon_S4749E,581
anon_S5772E,572
anon_S625E,743
anon_S3881E,504
anon_S3471E,653
anon_S4589E,528
anon_S1152E,710
anon_S4485E,644
anon_S4832E,552
anon_S940E,614
anon_S3544E,595
anon_S2758E,661
anon_S5680E,565
anon_S1780E,647
anon_S5212E,571
anon_S2618E,640
anon_S2723E,640
anon_S5440E,466
anon_S2479E,655
anon_S1043E,577
anon_S1836E,588
anon_S1918E,639
anon_S5329E,551
anon_S1552E,611
anon_S1858E,624
anon_S1638E,572
anon_S1472E,569
anon_S5611E,574
anon_S2551E,623
anon_S1703E,576
anon_S5291E,546
anon_S1589E,602
anon_S2049E,544
anon_S24E,560
anon_S292E,606
anon_S178E,611
anon_S332E,614
anon_S3644E,585
anon_S2791E,661
anon_S249E,633
anon_S5965E,575
anon_S778E,626
anon_S1681E,646
anon_S3325E,460
anon_S4796E,513
anon_S214E,611
anon_S6113E,545
anon_S833E,517
anon_S5823E,605
anon_S3387E,645
anon_S3528E,630
anon_S649E,605
anon_S3415E,639
anon_S859E,599
anon_S6066E,575
anon_S1172E,474
anon_S371E,545
anon_S4361E,552
anon_S2015E,570
anon_S3239E,623
anon_S2838E,579
anon_S5635E,534
anon_S1934E,651
anon_S5708E,545
anon_S4150E,578
anon_S4673E,567
anon_S3264E,667
anon_S4205E,603
anon_S3813E,657
anon_S3734E,655
anon_S5668E,584
anon_S4928E,563
anon_S4848E,579
anon_S3977E,616
anon_S4975E,574
anon_S5068E,563
anon_S3311E,588
anon_S5755E,580
anon_S5058E,617
anon_S2495E,544
anon_S4815E,556
anon_S5002E,551
anon_S1382E,615
anon_S1813E,663
anon_S1488E,538
anon_S2779E,652
anon_S1828E,655
anon_S83E,587
anon_S5164E,558
anon_S1966E,661
anon_S2179E,597
anon_S2644E,544
anon_S5992E,584
anon_S5794E,574
anon_S1528E,655
anon_S5364E,622
anon_S1761E,640
anon_S1622E,604
anon_S1293E,431
anon_S6006E,638
anon_S395E,591
anon_S5289E,687
anon_S3172E,642
anon_S886E,561
anon_S2004E,626
anon_S2454E,624
anon_S1457E,663
anon_S108E,616
anon_S2821E,553
anon_S4410E,563
anon_S2549E,547
anon_S2967E,563
anon_S3618E,575
anon_S2789E,636
anon_S2353E,594
anon_S4345E,550
anon_S162E,595
anon_S2237E,595
anon_S2685E,646
anon_S3240E,581
anon_S2898E,598
anon_S766E,569
anon_S3763E,628
anon_S3080E,544
anon_S1958E,591
anon_S3011E,648
anon_S4016E,579
anon_S4624E,508
anon_S929E,582
anon_S3567E,556
anon_S2185E,588
anon_S3957E,603
anon_S6107E,536
anon_S437E,392
anon_S1111E,690
anon_S5483E,576
anon_S5833E,525
anon_S4686E,528
anon_S987E,574
anon_S3509E,549
anon_S3989E,680
anon_S1873E,657
anon_S1751E,620
anon_S1360E,551
anon_S4215E,603
anon_S4738E,507
anon_S1906E,538
anon_S5652E,568
anon_S5818E,592
anon_S3601E,667
anon_S4765E,541
anon_S1462E,514
anon_S1098E,540
anon_S4171E,557
anon_S4883E,575
anon_S2596E,612
anon_S4912E,568
anon_S746E,577
anon_S1744E,634
anon_S1398E,549
anon_S1513E,589
anon_S4044E,573
anon_S392E,577
anon_S1807E,670
anon_S2761E,663
anon_S5185E,534
anon_S2217E,623
anon_S97E,585
anon_S1644E,604
anon_S2282E,666
anon_S2161E,601
anon_S1221E,588
anon_S4546E,575
anon_S2430E,653
anon_S6045E,542
anon_S223E,523
anon_S3487E,628
anon_S3035E,544
anon_S2473E,663
anon_S4473E,549
anon_S3155E,544
anon_S3068E,623
anon_S3108E,638
anon_S15E,561
anon_S482E,596
anon_S2370E,642
anon_S4741E,513
anon_S31E,560
anon_S4317E,544
anon_S5255E,578
anon_S3479E,606
anon_S4581E,590
anon_S5027E,535
anon_S3889E,431
anon_S3784E,560
anon_S4115E,655
anon_S3446E,663
anon_S3854E,549
anon_S570E,490
anon_S948E,608
anon_S3194E,611
anon_S1183E,609
anon_S4028E,657
anon_S828E,428
anon_S2333E,623
anon_S3997E,633
anon_S4510E,555
anon_S875E,641
anon_S1850E,650
anon_S4190E,568
anon_S1625E,589
anon_S2145E,634
anon_S5321E,560
anon_S2610E,665
anon_S1130E,621
anon_S1945E,667
anon_S5619E,523
anon_S5026E,619
anon_S1607E,637
anon_S1276E,682
anon_S5299E,569
anon_S4959E,607
anon_S1082E,573
anon_S1730E,573
anon_S1341E,591
anon_S4234E,645
anon_S6033E,466
anon_S2424E,649
anon_S4864E,562
anon_S2314E,654
anon_S5429E,568
anon_S2041E,651
anon_S1581E,644
anon_S147E,569
anon_S42E,561
anon_S5073E,576
anon_S6092E,570
anon_S5412E,579
anon_S5952E,563
anon_S2486E,623
anon_S4340E,575
anon_S241E,609
anon_S1689E,643
anon_S3283E,663
anon_S5195E,610
anon_S4944E,618
anon_S2915E,604
anon_S5260E,601
anon_S5565E,575
anon_S1240E,492
anon_S641E,552
anon_S342E,584
anon_S5872E,585
anon_S5355E,568
anon_S2538E,640
anon_S3052E,666
anon_S4534E,606
anon_S883E,601
anon_S851E,614
anon_S514E,560
anon_S964E,635
anon_S3520E,551
anon_S829E,701
anon_S6055E,605
anon_S5989E,578
anon_S113E,581
anon_S2858E,581
anon_S3597E,588
anon_S2565E,623
anon_S2998E,660
anon_S4569E,515
anon_S2035E,655
anon_S2863E,550
anon_S4369E,624
anon_S4456E,549
anon_S1992E,611
anon_S2921E,621
anon_S5700E,566
anon_S4303E,549
anon_S635E,629
anon_S3926E,595
anon_S3461E,598
anon_S4263E,618
anon_S3948E,603
anon_S4067E,612
anon_S4840E,557
anon_S3379E,556
anon_S3556E,606
anon_S1792E,664
anon_S5509E,497
anon_S5472E,592
anon_S1077E,594
anon_S1820E,650
anon_S376E,676
anon_S1955E,658
anon_S2144E,661
anon_S1520E,566
anon_S2673E,620
anon_S5237E,520
anon_S1769E,655
anon_S1464E,663
anon_S2117E,628
anon_S1333E,651
anon_S5302E,612
anon_S5601E,465
anon_S2541E,638
anon_S4941E,530
anon_S1599E,623
anon_S1277E,524
anon_S32E,563
anon_S1359E,378
anon_S3627E,595
anon_S533E,561
anon_S58E,567
anon_S2781E,646
anon_S2062E,590
anon_S3915E,601
anon_S259E,567
anon_S2710E,624
anon_S5156E,586
anon_S5385E,599
anon_S2266E,655
anon_S5888E,618
anon_S5928E,476
anon_S3335E,627
anon_S5203E,579
anon_S4784E,501
anon_S5975E,566
anon_S262E,585
anon_S2208E,669
anon_S662E,664
anon_S3436E,649
anon_S2801E,616
anon_S3494E,642
anon_S3019E,645
anon_S3501E,614
anon_S6074E,776
anon_S3981E,560
anon_S3124E,628
anon_S2982E,549
anon_S408E,576
anon_S3229E,586
anon_S5625E,539
anon_S1895E,658
anon_S4730E,513
anon_S3212E,544
anon_S4787E,552
anon_S3807E,549
anon_S4179E,710
anon_S4616E,490
anon_S4284E,616
anon_S3903E,549
anon_S3400E,549
anon_S5096E,559
anon_S3838E,660
anon_S3365E,582
anon_S4146E,652
anon_S3938E,603
anon_S5761E,569
anon_S4821E,574
anon_S1699E,591
anon_S1081E,612
anon_S5034E,568
anon_S1390E,452
anon_S2769E,623
anon_S5544E,587
anon_S2734E,596
anon_S5176E,578
anon_S1229E,546
anon_S1974E,603
anon_S2169E,666
anon_S1541E,617
anon_S2656E,657
anon_S5372E,541
anon_S5693E,591
anon_S1771E,588
anon_S1614E,640
anon_S1287E,691
anon_S2103E,658
anon_S281E,567
anon_S2802E,579
anon_S894E,651
anon_S1443E,598
anon_S2831E,549
anon_S2378E,655
anon_S2087E,594
anon_S2278E,667
anon_S4324E,608
anon_S2347E,612
anon_S154E,579
anon_S2243E,594
anon_S3272E,589
anon_S303E,581
anon_S3777E,638
anon_S2855E,544
anon_S578E,567
anon_S687E,457
anon_S3001E,588
anon_S1012E,651
anon_S4636E,559
anon_S547E,496
anon_S915E,554
anon_S3573E,636
anon_S678E,605
anon_S3963E,647
anon_S443E,644
anon_S1165E,657
anon_S478E,621
anon_S820E,627
anon_S4698E,554
anon_S3519E,663
anon_S4518E,536
anon_S3999E,560
anon_S4198E,667
anon_S4951E,664
anon_S1138E,668
anon_S1923E,560
anon_S4012E,639
anon_S5593E,518
anon_S4372E,616
anon_S1499E,656
anon_S5677E,662
anon_S4711E,667
anon_S2584E,620
anon_S5742E,569
anon_S396E,613
anon_S5779E,612
anon_S4897E,599
anon_S1414E,626
anon_S4161E,571
anon_S4664E,584
anon_S4802E,618
anon_S4937E,635
anon_S5421E,573
anon_S4056E,593
anon_S5268E,537
anon_S2755E,543
anon_S194E,596
anon_S2223E,658
anon_S725E,535
anon_S5148E,574
anon_S1559E,605
anon_S2290E,576
anon_S1248E,625
anon_S1497E,652
anon_S2530E,549
anon_S1375E,576
anon_S1562E,568
anon_S1328E,585
anon_S3025E,627
anon_S3696E,583
anon_S2850E,549
anon_S3161E,661
anon_S4407E,662
anon_S29E,561
anon_S299E,541
anon_S490E,649
anon_S2416E,611
anon_S2362E,659
anon_S3344E,594
anon_S2929E,658
anon_S5904E,542
anon_S2257E,655
anon_S3469E,656
anon_S3093E,662
anon_S3875E,549
anon_S3792E,662
anon_S4608E,554
anon_S4775E,569
anon_S562E,557
anon_S5800E,573
anon_S3940E,562
anon_S1008E,575
anon_S905E,495
anon_S76E,594
anon_S4136E,560
anon_S4001E,639
anon_S4506E,584
anon_S1842E,611
anon_S5501E,402
anon_S1102E,508
anon_S5494E,597
anon_S2124E,651
anon_S1673E,652
anon_S4949E,584
anon_S4084E,614
anon_S1746E,544
anon_S1351E,568
anon_S5732E,586
anon_S2436E,668
anon_S4872E,551
anon_S4100E,610
anon_S4923E,550
anon_S1591E,618
anon_S133E,686
anon_S5067E,593
anon_S3841E,623
anon_S50E,560
anon_S5107E,557
anon_S5400E,528
anon_S2498E,650
anon_S759E,591
anon_S251E,567
anon_S1192E,586
anon_S88E,587
anon_S2397E,544
anon_S2627E,549
anon_S2718E,564
anon_S3752E,636
anon_S2905E,588
anon_S5252E,762
anon_S5334E,541
anon_S3393E,625
anon_S2172E,585
anon_S2809E,652
anon_S374E,574
anon_S5864E,598
anon_S5369E,579
anon_S2999E,639
anon_S535E,606
anon_S4526E,584
anon_S4041E,625
anon_S5999E,560
anon_S400E,615
anon_S107E,591
anon_S8E,560
anon_S597E,622
anon_S3179E,656
anon_S2054E,579
anon_S2511E,665
anon_S865E,474
anon_S3077E,659
anon_S3221E,583
anon_S2301E,576
anon_S2877E,554
anon_S4395E,631
anon_S3142E,578
anon_S4460E,639
anon_S3706E,603
anon_S5712E,543
anon_S4337E,581
anon_S609E,600
anon_S3930E,627
anon_S5047E,654
anon_S4647E,569
anon_S5769E,581
anon_S3E,560
anon_S4829E,563
anon_S3535E,591
anon_S1691E,620
anon_S654E,542
anon_S4073E,612
anon_S3408E,659
anon_S4852E,585
anon_S4629E,541
anon_S924E,563
anon_S3568E,549
anon_S5457E,664
anon_S1054E,559
anon_S501E,562
anon_S4019E,603
