node,new_score,original_score,diff(new-origin)
anon_S5391E,538,538,0
anon_S837E,601,601,0
anon_S3887E,746.41,549,197.41
anon_S124E,695,695,0
anon_S145E,895.29,649,246.29
anon_S1320E,598,598,0
anon_S968E,658,658,0
anon_S69E,899.08,636,263.08
anon_S523E,763,763,0
anon_S1090E,776,776,0
anon_S5659E,641,641,0
anon_S558E,-1,-1,na
anon_S6037E,-1,-1,na
anon_S1448E,531,531,0
anon_S2570E,724.29,418,306.29
anon_S2525E,730.4,535,195.4
anon_S1306E,598,598,0
anon_S2927E,626,549,77
anon_S3043E,588,533,55
anon_S3499E,713,596,117
anon_S1001E,575,575,0
anon_S3477E,711,-1,na
anon_S2461E,717.27,483,234.27
anon_S888E,586,586,0
anon_S2949E,723,578,145
anon_S1150E,-1,-1,na
anon_S797E,-1,-1,na
anon_S2725E,849.65,692,157.65
anon_S308E,649,591,58
anon_S5141E,702.66,499,203.66
anon_S2322E,744.54,-1,na
anon_S2359E,853.43,532,321.43
anon_S3147E,632,533,99
anon_S2075E,849.65,533,316.65
anon_S2407E,525,528,-3
anon_S2002E,853.43,600,253.43
anon_S405E,749,648,101
anon_S102E,748.7,571,177.7
anon_S5839E,770,649,121
anon_S997E,631,631,0
anon_S1176E,604,604,0
anon_S5016E,749.35,664,85.35
anon_S4878E,470,470,0
anon_S590E,440,440,0
anon_S5911E,609,540,69
anon_S2703E,651,512,139
anon_S5686E,609,519,90
anon_S2934E,747.44,627,120.44
anon_S2969E,647,-1,na
anon_S3612E,724.29,626,98.29
anon_S4330E,711,504,207
anon_S4365E,742.22,568,174.22
anon_S735E,604,604,0
anon_S5536E,744.89,602,142.89
anon_S5691E,609,482,127
anon_S5221E,541,541,0
anon_S5937E,501,501,0
anon_S1830E,696,544,152
anon_S2860E,695,662,33
anon_S4106E,664,575,89
anon_S4187E,595,595,0
anon_S3629E,578.89,682,-103.11
anon_S2304E,853.43,553,300.43
anon_S889E,526,526,0
anon_S4305E,601,-1,na
anon_S3297E,531.28,604,-72.72
anon_S5639E,592,592,0
anon_S4168E,524,524,0
anon_S1916E,744.54,641,103.54
anon_S4702E,894.74,609,285.74
anon_S2196E,723.17,537,186.17
anon_S1550E,792,531,261
anon_S1930E,602,513,89
anon_S4989E,877.71,585,292.71
anon_S3351E,705,554,151
anon_S1071E,-1,-1,na
anon_S4907E,591,591,0
anon_S2661E,598,519,79
anon_S2952E,731.98,569,162.98
anon_S2634E,849.65,486,363.65
anon_S2231E,649,535,114
anon_S5458E,710,-1,na
anon_S1463E,708,612,96
anon_S1636E,527,527,0
anon_S4979E,733.3,516,217.3
anon_S5039E,618.89,513,105.89
anon_S1407E,-1,-1,na
anon_S3846E,657.8,-1,na
anon_S4677E,589,589,0
anon_S3260E,530,447,83
anon_S1321E,534,534,0
anon_S675E,668,668,0
anon_S350E,693,693,0
anon_S3456E,565,646,-81
anon_S2134E,650,-1,na
anon_S2812E,708,766,-58
anon_S5613E,791.78,665,126.78
anon_S4226E,601,657,-56
anon_S6052E,483,483,0
anon_S5042E,734,540,194
anon_S3860E,747.44,485,262.44
anon_S504E,704,704,0
anon_S5293E,517,517,0
anon_S3180E,650,614,36
anon_S3538E,629,629,0
anon_S4924E,531,531,0
anon_S1701E,747.44,653,94.44
anon_S690E,595,595,0
anon_S3060E,657.8,-1,na
anon_S3973E,663,-1,na
anon_S3947E,632,703,-71
anon_S841E,324,324,0
anon_S3646E,578.89,587,-8.11
anon_S814E,-1,-1,na
anon_S4521E,508,508,0
anon_S522E,642,642,0
anon_S976E,-1,-1,na
anon_S559E,501,501,0
anon_S3790E,566,722,-156
anon_S26E,674.96,640,34.96
anon_S3516E,717.27,525,192.27
anon_S6117E,477,477,0
anon_S5751E,609,-1,na
anon_S2444E,812,400,412
