node,new_score,original_score,diff
anon_S1091,315.2777259,676,-360.7222741
anon_S3478,380.6238555,731,-350.3761445
anon_S4275,380.7842527,710,-329.2157473
anon_S1436,380.5197449,699,-318.4802551
anon_S1379,459.6263862,756,-296.3736138
anon_S1400,459.6237934,750,-290.3762066
anon_S1083,384.1770776,674,-289.8229224
anon_S1369,459.6239756,749,-289.3760244
anon_S2162,489.5088281,778,-288.4911719
anon_S5821,489.9027546,775,-285.0972454
anon_S5175,333.402261,618,-284.597739
anon_S4727,536.6032874,816,-279.3967126
anon_S5513,456.4066112,729,-272.5933888
anon_S1415,459.5767547,732,-272.4232453
anon_S3971,501.120932,773,-271.879068
anon_S3340,515.0885969,781,-265.9114031
anon_S5633,493.8854774,751,-257.1145226
anon_S5289,491.5395375,745,-253.4604625
anon_S2047,489.4336825,741,-251.5663175
anon_S3117,538.5897423,781,-242.4102577
anon_S4872,499.2073607,741,-241.7926393
anon_S3915,515.1535616,752,-236.8464384
anon_S1362,459.6136355,693,-233.3863645
anon_S5967,545.0330161,778,-232.9669839
anon_S4145,501.0733458,733,-231.9266542
anon_S1404,459.6245217,690,-230.3754783
anon_S4837,539.5474987,768,-228.4525013
anon_S1836,515.0141239,740,-224.9858761
anon_S5235,484.0847632,709,-224.9152368
anon_S4847,409.2376582,634,-224.7623418
anon_S3681,515.230932,738,-222.769068
anon_S3440,529.249357,752,-222.750643
anon_S1408,459.5354617,681,-221.4645383
anon_S4148,515.1758159,736,-220.8241841
anon_S2424,515.224078,736,-220.775922
anon_S5088,581.8902153,802,-220.1097848
anon_S3733,501.061576,720,-218.938424
anon_S4080,568.0359,784,-215.9641
anon_S4856,471.6880011,685,-213.3119989
anon_S1119,546.0834588,757,-210.9165412
anon_S5628,559.9890624,770,-210.0109376
anon_S5599,494.1912086,703,-208.8087914
anon_S2352,537.8544841,745,-207.1455159
anon_S5653,451.7965016,658,-206.2034984
anon_S1370,459.6247531,665,-205.3752469
anon_S1413,459.6254727,665,-205.3745273
anon_S3452,529.2527127,734,-204.7472873
anon_S5597,549.1266861,753,-203.8733139
anon_S2955,515.2097924,719,-203.7902076
anon_S5255,489.6551119,689,-199.3448881
anon_S4864,548.3770083,745,-196.6229917
anon_S3848,566.5493508,763,-196.4506492
anon_S4700,601.4742712,797,-195.5257288
anon_S3564,546.493492,740,-193.506508
anon_S3592,501.0619356,694,-192.9380644
anon_S1090,583.0915445,776,-192.9084555
anon_S4958,538.3366812,730,-191.6633188
anon_S1416,459.591594,651,-191.408406
anon_S1374,459.6248826,651,-191.3751174
anon_S5234,484.0868926,675,-190.9131074
anon_S5259,488.6584666,678,-189.3415334
anon_S1781,515.1796162,703,-187.8203838
anon_S851,554,740,-186
anon_S1422,537.7378681,721,-183.2621319
anon_S5586,591.7778443,775,-183.2221557
anon_S4298,601.9374126,785,-183.0625874
anon_S4834,518.5214541,700,-181.4785459
anon_S4738,333.3978281,514,-180.6021719
anon_S494,596.482506,777,-180.517494
anon_S3914,565.4404059,745,-179.5595941
anon_S5581,574.610986,753,-178.389014
anon_S813,565.7937322,744,-178.2062678
anon_S3988,515.1651044,693,-177.8348956
anon_S2320,551.2965784,729,-177.7034216
anon_S4818,516.3517525,694,-177.6482475
anon_S4862,541.4922566,719,-177.5077434
anon_S5834,635.0651908,812,-176.9348092
anon_S1393,459.6258074,636,-176.3741926
anon_S5231,484.087832,660,-175.912168
anon_S3566,539.1155057,714,-174.8844943
anon_S1465,529.1873155,704,-174.8126845
anon_S200,557.0329131,731,-173.9670869
anon_S6017,544.4246952,718,-173.5753048
anon_S3831,501.1293046,673,-171.8706954
anon_S551,513.4505158,685,-171.5494842
anon_S1409,459.6196037,631,-171.3803963
anon_S5460,549.1014458,720,-170.8985542
anon_S4852,552.366525,723,-170.633475
anon_S2098,594.2633947,764,-169.7366053
anon_S1414,459.6256798,629,-169.3743202
anon_S2954,438.0271762,607,-168.9728238
anon_S3245,501.086041,670,-168.913959
anon_S5598,521.867056,690,-168.132944
anon_S4260,568.0451213,736,-167.9548787
anon_S5588,612.3105677,780,-167.6894323
anon_S5014,516.6677333,684,-167.3322667
anon_S4704,549.072317,716,-166.927683
anon_S2883,515.1213895,682,-166.8786105
anon_S4820,559.7931983,726,-166.2068017
anon_S3629,515.9324074,682,-166.0675926
anon_S1822,527.070151,693,-165.929849
anon_S5477,543.1785826,709,-165.8214174
anon_S3407,515.0740442,679,-163.9259558
anon_S2037,515.1529083,679,-163.8470917
anon_S2538,634.5795374,798,-163.4204626
anon_S5974,593.416009,756,-162.583991
anon_S5596,601.9112281,764,-162.0887719
anon_S4904,537.9283549,700,-162.0716451
anon_S4583,515.0417632,676,-160.9582368
anon_S81,613.2440648,774,-160.7559352
anon_S4951,534.6248204,695,-160.3751796
anon_S5962,595.6723924,756,-160.3276076
anon_S5081,600.1741403,760,-159.8258597
anon_S5617,491.2238691,651,-159.7761309
anon_S4952,533.2522408,693,-159.7477592
anon_S4565,541.2716179,701,-159.7283821
anon_S388,533.7480497,693,-159.2519503
anon_S5236,484.0888966,643,-158.9111034
anon_S55,597.5882447,756,-158.4117553
anon_S3986,601.4716686,759,-157.5283314
anon_S1382,459.6258687,617,-157.3741313
anon_S1922,622.8141709,780,-157.1858291
anon_S5494,459.0734097,616,-156.9265903
anon_S1667,515.0809203,672,-156.9190797
anon_S5559,556.0908327,713,-156.9091673
anon_S4869,561.3189133,718,-156.6810867
anon_S4841,529.3772343,686,-156.6227657
anon_S1734,506.6279124,663,-156.3720876
anon_S724,499.9593914,656,-156.0406086
anon_S5711,635.0685404,791,-155.9314596
anon_S2966,559.1023373,715,-155.8976627
anon_S3543,596.835259,752,-155.164741
anon_S3505,566.6299111,721,-154.3700889
anon_S4197,566.9114003,721,-154.0885997
anon_S80,564.2414501,718,-153.7585499
anon_S3919,601.4511501,755,-153.5488499
anon_S5665,640.5901518,794,-153.4098482
anon_S1372,459.6259468,613,-153.3740532
anon_S5568,489.9360343,643,-153.0639657
anon_S2889,438.0927168,591,-152.9072832
anon_S2489,501.0969413,654,-152.9030587
anon_S3511,598.338667,751,-152.661333
anon_S2977,575.4155698,728,-152.5844302
anon_S773,506.5487682,659,-152.4512319
anon_S4586,530.5511749,683,-152.4488251
anon_S2857,506.6173261,659,-152.3826739
anon_S625,596.7688305,749,-152.2311695
anon_S4900,536.0400393,688,-151.9599607
anon_S4997,549.1034384,701,-151.8965616
anon_S4804,535.1708688,687,-151.8291312
anon_S4803,558.7308243,710,-151.2691757
anon_S5567,489.9362517,641,-151.0637483
anon_S3938,501.073624,652,-150.926376
anon_S5089,600.1464916,751,-150.8535084
anon_S2813,363.6064069,514,-150.3935931
anon_S1387,459.6260739,610,-150.3739261
anon_S2928,567.996666,718,-150.003334
anon_S1588,546.0896963,696,-149.9103037
anon_S4729,530.4980932,680,-149.5019068
anon_S5952,538.5274909,688,-149.4725091
anon_S521,662.6197888,812,-149.3802112
anon_S25,662.7089848,812,-149.2910152
anon_S4229,622.7960626,772,-149.2039374
anon_S4632,600.1505511,749,-148.8494489
anon_S4930,540.9675384,689,-148.0324616
anon_S3692,515.2222215,663,-147.7777785
anon_S1858,529.2337586,677,-147.7662414
anon_S3790,574.5910024,722,-147.4089976
anon_S1396,459.6261682,607,-147.3738318
anon_S3442,602.0154394,749,-146.9845606
anon_S4401,459.6257857,606,-146.3742143
anon_S5317,602.0810902,747,-144.9189098
anon_S189,573.4937436,718,-144.5062564
anon_S4516,444.5961741,589,-144.4038259
anon_S1386,459.6259883,604,-144.3740117
anon_S1378,459.6260156,604,-144.3739844
anon_S3316,610.2168096,754,-143.7831904
anon_S2482,538.3316765,682,-143.6683235
anon_S1556,589.741565,733,-143.258435
anon_S3761,651.8057658,795,-143.1942342
anon_S207,538.0470113,681,-142.9529887
anon_S2582,568.0880428,711,-142.9119572
anon_S397,577.1163885,720,-142.8836115
anon_S235,631.2701312,774,-142.7298689
anon_S2155,529.2939298,672,-142.7060702
anon_S1363,459.6187118,602,-142.3812882
anon_S980,637.0941338,779,-141.9058662
anon_S2249,515.2098648,657,-141.7901352
anon_S555,568.8671172,710,-141.1328828
anon_S5233,484.0900239,625,-140.9099761
anon_S4567,541.0975383,682,-140.9024617
anon_S1726,551.3476801,692,-140.6523199
anon_S4,663.4924022,804,-140.5075978
anon_S5555,561.7243463,702,-140.2756537
anon_S4213,570.0182895,710,-139.9817105
anon_S5079,568.0419113,708,-139.9580887
anon_S1094,599.6729863,739,-139.3270137
anon_S2087,515.1943731,654,-138.8056269
anon_S2257,489.2507304,628,-138.7492696
anon_S5512,456.3938089,595,-138.6061911
anon_S5252,635.0695593,773,-137.9304407
anon_S4508,547.5459661,685,-137.4540339
anon_S5618,525.6485164,663,-137.3514836
anon_S179,592.3108653,729,-136.6891347
anon_S626,596.484315,733,-136.515685
anon_S1410,459.6256857,596,-136.3743143
anon_S1106,559.1453854,695,-135.8546146
anon_S4484,459.6043375,595,-135.3956625
anon_S5466,535.9960834,671,-135.0039166
anon_S5307,596.2994264,731,-134.7005736
anon_S3704,501.0810433,635,-133.9189567
anon_S4263,602.1026074,735,-132.8973926
anon_S5613,532.19615,665,-132.80385
anon_S1559,551.2734753,684,-132.7265247
anon_S5008,516.6108183,649,-132.3891817
anon_S3792,566.8124247,698,-131.1875753
anon_S2599,501.068067,632,-130.931933
anon_S4868,603.0990727,734,-130.9009273
anon_S3024,695.1753443,825,-129.8246557
anon_S4857,469.3489993,599,-129.6510007
anon_S518,662.6703051,792,-129.3296949
anon_S1924,622.7963932,752,-129.2036068
anon_S5830,635.0624742,764,-128.9375258
anon_S5548,483,611,-128
anon_S3418,527.0607608,655,-127.9392392
anon_S4007,501.1028493,629,-127.8971507
anon_S5595,607.3060451,734,-126.6939549
anon_S1118,522.3464775,649,-126.6535225
anon_S35,663.4414241,790,-126.5585759
anon_S2642,566.683618,693,-126.316382
anon_S5228,441.0544076,567,-125.9455924
anon_S1081,600.1805317,726,-125.8194683
anon_S2590,515.196973,641,-125.803027
